Record Type,PO Number,PO Number.1,PO Number.2,Chg,Com,Type,Conf,Order Date,Buyer,Account Number,Supplier,Curr,Item,Commodity Code,Description,Qty,Un,Order Value,Amount Invoiced,Unnamed: 20,WBS Code,Contract,Remarks
ttOrder,3093/M00021,3093/M00021,3093/M00021,V001,Y,N,N,17/08/2023,bstormon,STEL01,Stellar Systems Pty Ltd,AUD,1.0,MATS-001,Wall Mount Enc 6RU 600W 600D 370H,1.0,EA,236.12,236.12,,N002190,3093.0,Order Complete
ttOrder,3093/M00021,3093/M00021,3093/M00021,V001,Y,N,N,17/08/2023,bstormon,STEL01,Stellar Systems Pty Ltd,AUD,2.0,MATS-001,Ubiquiti UniFi AC Pro V2 Indoor &,2.0,EA,456.48,456.48,,N002190,3093.0,Order Complete
ttOrder,3093/M00021,3093/M00021,3093/M00021,V001,Y,N,N,17/08/2023,bstormon,STEL01,Stellar Systems Pty Ltd,AUD,3.0,MATS-001,"Ubiquiti UniFi Switch Lite 8 PoE, 4x PoE",1.0,EA,221.18,221.18,,N002190,3093.0,Order Complete
ttOrder,3093/M00021,3093/M00021,3093/M00021,V001,Y,N,N,17/08/2023,bstormon,STEL01,Stellar Systems Pty Ltd,AUD,4.0,MATS-001,Eaton 5P650iR 5P 650VA / 420W Line,1.0,EA,626.4,626.4,,N002190,3093.0,Order Complete
ttOrder,3093/M00021,3093/M00021,3093/M00021,V001,Y,N,N,17/08/2023,bstormon,STEL01,Stellar Systems Pty Ltd,AUD,5.0,MATS-001,Freight Standard,1.0,EA,85.0,85.0,,N002190,3093.0,Order Complete
ttOrder,3093/M00022,3093/M00022,3093/M00022,V001,Y,N,Y,18/08/2023,bstormon,REA001,Reali Supply,AUD,1.0,MATS-001,6x shirts,330.27,EA,330.27,330.27,,N003001,3093.0,Order Complete
ttOrder,3093/M00023,3093/M00023,3093/M00023,V001,Y,N,Y,18/08/2023,bstormon,RSEA01,RSEA - Road Safety Equipment,AUD,1.0,MATS-001,Misc. Safety PPE for start up.,1.0,EA,200.0,189.71,,N003001,3093.0,Order Complete
ttOrder,3093/M00024,3093/M00024,3093/M00024,V001,Y,N,Y,03/10/2023,bstormon,BUNN04,Bunnings - QLD,AUD,1.0,MATS-001,General use for site,20000.0,EA,20000.0,11315.49,,N002101,3093.0,Order Complete
ttOrder,3093/M00025,3093/M00025,3093/M00025,V001,Y,N,Y,21/08/2023,bstormon,REA001,Reali Supply,AUD,1.0,MATS-001,Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot,2.0,EA,385.2,385.2,,N003001,3093.0,Order Complete
ttOrder,3093/M00025,3093/M00025,3093/M00025,V001,Y,N,Y,21/08/2023,bstormon,REA001,Reali Supply,AUD,2.0,MATS-001,Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy,10.0,EA,337.3,337.3,,N003001,3093.0,Order Complete
ttOrder,3093/M00025,3093/M00025,3093/M00025,V001,Y,N,Y,21/08/2023,bstormon,REA001,Reali Supply,AUD,3.0,MATS-001,Cotton Drill Taped Cargo Pants - Navy,10.0,EA,229.5,229.5,,N003001,3093.0,Order Complete
ttOrder,3093/M00025,3093/M00025,3093/M00025,V001,Y,N,Y,21/08/2023,bstormon,REA001,Reali Supply,AUD,4.0,MATS-001,4 in 1 Hi Vis 2 Tone Breathable Taped Jacket with Vest,1.0,EA,108.14,108.14,,N003001,3093.0,Order Complete
ttOrder,3093/M00025,3093/M00025,3093/M00025,V001,Y,N,Y,21/08/2023,bstormon,REA001,Reali Supply,AUD,5.0,MATS-001,Hi Vis Soft Shell Jacket with 3M Tape,1.0,EA,80.75,80.75,,N003001,3093.0,Order Complete
ttOrder,3093/M00025,3093/M00025,3093/M00025,V001,Y,N,Y,21/08/2023,bstormon,REA001,Reali Supply,AUD,6.0,MATS-001,Vented Hard Hat Type 1 with Georgiou Pad Print,2.0,EA,27.64,27.61,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,1.0,MATS-001,[SIGNSTICK] Custom Sticker 50mm - Georgiou 3093 Toowoomba Flood Recover,50.0,EA,90.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,2.0,MATS-001,[SIGNSTICK] Custom Sticker 200 x 100mm - Georgiou 3093 Toowoomba Flood Recover,100.0,EA,450.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,3.0,MATS-001,[SIGNCUST] Custom Design Sign 1500 x 400mm Alupanel Non-reflective -Georgiou Logo,8.0,EA,736.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,4.0,MATS-001,[SIGN953] Safety Sign 600 x 450mm Alupanel Non-reflective - Site Office,8.0,EA,304.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,5.0,MATS-001,[SIGN218] Safety Sign 600 x 450mm - DANGER Keep Out Authorised Personnel Only - Alupanel Non-reflective,8.0,EA,304.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,6.0,MATS-001,[SIGNSEC] Safety Sign 600 x 450mm - Security Notice Surveillance Cameras In Use - Alupanel Non-reflective,8.0,EA,304.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,7.0,MATS-001,[TC1170] Multi Message Sign 600 x 600mm Class 1 Aluminium - End Road Work,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,8.0,MATS-001,[TC1169] Multi Message Sign 600 x 600mm Class 1 Aluminium - Road Work Ahead,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,9.0,MATS-001,[SIGNMM6060] Multi Message Sign 600 x 600mm Class 1 Aluminium - 40km Speed Limit,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,10.0,MATS-001,[SIGNMM6060] Multi Message Sign 600 x 600mm Class 1 Aluminium - 60km Speed Limit,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,11.0,MATS-001,[SIGNMM6060] Multi Message Sign 600 x 600mm Class 1 Aluminium - 80km Speed Limit,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,12.0,MATS-001,[SIGNMM6060] Multi Message Sign 600 x 600mm Class 1 Aluminium - 100km Speed Limit,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,13.0,MATS-001,[TC1220] Multi Message Sign 1200 x 300mm Class 1 Aluminium - Reduce Speed,30.0,EA,1350.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,14.0,MATS-001,[TC1177] Multi Message Sign 1200 x 300mm Class 1 Aluminium - Drive Safely,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,15.0,MATS-001,[TC1173] Multi Message Sign 600 x 600mm Class 1 Aluminium - Prepare To Stop,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,16.0,MATS-001,[TC332] Multi Message Sign 600 x 600mm Class 1 Aluminium - Man Digging Symbol,30.0,EA,1530.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,17.0,MATS-001,[TC1216] Multi Message Sign 600 x 600mm Class 1 Aluminium - Traffic Lights Ahead Symbol,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,18.0,MATS-001,[TC1174] Multi Message Sign 1200 x 300mm Class 1 Aluminium - Do Not Overtake,20.0,EA,900.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,19.0,MATS-001,"[SNBXRF9X6] Boxed Edge Refl Cl1W - 900 x 600 - Gas Pipeline, No Vibration",4.0,EA,300.0,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,20.0,MATS-001,[SIGNBPOD] Safety Sign Bi Pod Multi Message Leg Only (1),8.0,EA,168.53,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,21.0,MATS-001,[STICKFIRE] Hard Hat Stickers - (12 on sheet) - Fire Warden,1.0,EA,23.29,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,22.0,MATS-001,[STICK500] Hard Hat Stickers - (12 on sheet) - First Aid,1.0,EA,23.29,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00027,3093/M00027,3093/M00027,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,23.0,DEL01,Delivery - Regional,1.0,NO,32.9,0.0,,N003001,3093.0,Order Complete
ttOrder,3093/M00028,3093/M00028,3093/M00028,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,1.0,MATS-001,[SIGNSTICK] Custom Sticker 50mm - Georgiou 3093 Toowoomba Flood Recover,50.0,EA,90.0,90.0,,N008100,3093.0,Order Complete
ttOrder,3093/M00028,3093/M00028,3093/M00028,V001,Y,N,Y,21/08/2023,bstormon,TRAD10,Tradeline Site Solutions,AUD,2.0,MATS-001,[SIGNSTICK] Custom Sticker 200 x 100mm - Georgiou 3093 Toowoomba Flood Recover,100.0,EA,450.0,450.0,,N008100,3093.0,Order Complete
